,etiqueta
303732,5
303733,5
303737,5
303738,5
303739,5
303745,5
303747,3
303750,2
303751,5
303752,5
303754,5
303758,5
303759,5
303764,5
303768,5
303770,5
303772,1
303775,5
303777,5
303778,2
303780,5
303781,5
303785,5
303790,5
303791,2
303792,5
303796,4
303797,5
303801,5
303803,5
303806,5
303809,3
303812,5
303816,5
303818,5
303820,1
303821,5
303822,5
303824,5
303825,5
303829,5
303830,0
303832,5
303835,5
303836,5
303837,5
303838,5
303841,5
303844,5
303847,5
303852,4
303859,2
303864,5
303865,5
303866,5
303867,5
303869,5
303870,5
303871,5
303874,3
303875,5
303877,5
303878,2
303879,5
303884,5
303885,3
303888,5
303890,5
303892,0
303897,0
303900,5
303901,4
303904,5
303905,5
303906,5
303907,5
303909,5
303910,5
303911,5
303912,5
303913,5
303914,5
303916,5
303917,3
303920,5
303921,5
303922,5
303923,5
303924,5
303925,5
303926,5
303927,5
303928,5
303930,5
303931,5
303932,5
303933,5
303934,5
303935,1
303936,5
303937,2
303938,5
303940,0
303941,5
303942,5
303944,0
303945,5
303946,5
303947,5
303948,4
303950,5
303951,5
303952,3
303953,5
303954,0
303955,5
303956,5
303957,5
303958,-1
303959,5
303960,5
303961,5
303962,5
303963,5
303964,0
303965,5
303967,5
303968,3
303969,5
303971,5
303972,0
303973,5
303975,5
303976,0
303978,5
303979,2
303980,5
303981,5
303983,3
303984,5
303985,5
303987,5
303988,5
303989,5
303990,5
303991,2
303992,3
303993,5
303994,5
303995,5
303996,5
303997,5
303998,5
303999,5
304000,5
304001,5
304002,-1
304003,5
304004,5
304005,5
304006,2
304007,5
304010,5
304011,5
304012,0
304015,-1
304016,5
304017,5
304018,5
304021,5
304022,5
304023,5
304024,5
304025,5
304026,0
304027,5
304028,5
304029,5
304030,2
304031,5
304032,5
304033,5
304034,5
304035,5
304036,5
304037,0
304038,5
304040,5
304041,5
304043,2
304047,5
304050,0
304051,5
304053,5
304055,5
304056,5
304058,4
304059,5
304063,5
304065,5
304066,3
304067,5
304068,5
304071,5
304073,5
304076,5
304077,5
304078,5
304079,5
304084,0
304087,5
304089,2
304093,5
304094,5
304098,5
304100,2
304101,0
304102,5
304103,5
304104,5
304105,5
304108,2
304110,-1
304112,5
304115,5
304116,5
304117,1
304119,5
304123,5
304124,5
304127,5
304128,3
304130,5
304133,5
304134,5
304137,5
304140,5
304141,5
304143,5
304148,5
304149,5
304151,5
304154,5
304155,0
304157,5
304161,5
304162,1
304163,5
304165,5
304166,5
304168,2
304171,5
304172,3
304173,5
304174,5
304176,3
304182,3
304186,5
304187,5
304188,5
304190,5
304192,5
304193,3
304195,5
304198,4
304201,5
304203,5
304204,5
